arch|constant|xwide	5.0090	221.2696	0.3569
arch|plain|xwide	2.1237	121.0699	0.3715
arch|dim|xwide	2.1918	132.2402	0.3812
trimap|zero|xwide	0.3069	4.5228	0.1180
trimap|onehot|xwide	2.1840	144.4559	0.3841
loss|whole_l1|xwide	2.2498	126.5093	0.3739
loss|unk_comp|xwide	2.0899	123.5706	0.3750
decoder|bilinear|xwide	2.1030	115.3485	0.3727
decoder|unet|xwide	2.0145	112.2966	0.3737
refine|identity|xwide	2.1226	132.1361	0.3960
refine|stage|xwide	2.0805	122.8191	0.3662
skip|drop|xwide	2.1837	146.0736	0.3830
skip|concat|xwide	1.9593	105.1960	0.3556
attention|gap|xwide	2.0489	111.0596	0.3837
attention|selfattn|xwide	2.0789	128.2879	0.3765
dilation|single|xwide	2.1560	134.2152	0.3684
dilation|aspp|xwide	2.0117	115.9027	0.3752
norm|identity|xwide	2.9952	248.7177	0.2539
norm|batch|xwide	1.9361	103.2233	0.3605
upsampling|nearest|xwide	2.1138	121.6810	0.3809
upsampling|learned|xwide	2.0969	124.1089	0.3793
propagation|identity|xwide	2.0292	117.3446	0.3796
propagation|guided|xwide	2.2651	133.0933	0.3678
fgpred|alpha_only|xwide	2.1000	121.4785	0.3822
fgpred|joint|xwide	2.1860	126.0093	0.3784
