arch|constant|medium	2.7887
arch|constant|xwide	4.012
arch|plain|medium	0.1879
arch|plain|xwide	0.9796
arch|dim|medium	0.1596
arch|dim|xwide	0.8512
loss|whole_l1|medium	0.2142
loss|whole_l1|xwide	1.0262
loss|unk_comp|medium	0.1439
loss|unk_comp|xwide	0.8471
decoder|bilinear|medium	0.1965
decoder|bilinear|xwide	0.8981
decoder|unet|medium	0.1285
decoder|unet|xwide	0.8736
skip|drop|medium	0.1679
skip|drop|xwide	0.965
skip|concat|medium	0.1739
skip|concat|xwide	0.7047
attention|gap|medium	0.1388
attention|gap|xwide	0.8442
attention|selfattn|medium	0.1362
attention|selfattn|xwide	0.7721
dilation|single|medium	0.1537
dilation|single|xwide	0.7799
dilation|aspp|medium	0.1336
dilation|aspp|xwide	0.757
norm|identity|medium	1.9752
norm|identity|xwide	2.623
norm|batch|medium	0.1795
norm|batch|xwide	0.7381
upsampling|nearest|medium	0.1418
upsampling|nearest|xwide	0.8987
upsampling|learned|medium	0.1292
upsampling|learned|xwide	0.8574
arch|constant|wide	3.4267
arch|plain|wide	0.4226
arch|dim|wide	0.3264
loss|whole_l1|wide	0.5339
loss|unk_comp|wide	0.3655
decoder|bilinear|wide	0.3638
decoder|unet|wide	0.3739
skip|drop|wide	0.3813
skip|concat|wide	0.2781
attention|gap|wide	0.2941
attention|selfattn|wide	0.3003
dilation|single|wide	0.3172
dilation|aspp|wide	0.3303
norm|identity|wide	2.3268
norm|batch|wide	0.3449
upsampling|nearest|wide	0.3736
upsampling|learned|wide	0.3074
