arch|constant|narrow	1.8506	181.2698	0.4135
arch|constant|medium	2.7887	201.5237	0.4000
arch|constant|wide	4.0120	214.8834	0.3809
arch|plain|narrow	0.3202	17.3866	0.1693
arch|plain|medium	0.1879	3.8985	0.0887
arch|plain|wide	0.9796	48.4574	0.3201
arch|dim|narrow	0.3527	21.9020	0.2140
arch|dim|medium	0.1596	3.2214	0.0739
arch|dim|wide	0.8512	34.5825	0.3000
trimap|zero|narrow	0.1285	2.2082	0.0723
trimap|zero|medium	0.1315	1.4566	0.0712
trimap|zero|wide	0.2716	6.0819	0.1110
trimap|onehot|narrow	0.3859	26.6349	0.2633
trimap|onehot|medium	0.1432	2.6393	0.0801
trimap|onehot|wide	0.8585	35.4496	0.3120
loss|whole_l1|narrow	0.3125	15.7317	0.1738
loss|whole_l1|medium	0.2142	3.0947	0.0894
loss|whole_l1|wide	1.0262	39.0069	0.3341
loss|unk_comp|narrow	0.3385	19.5767	0.2271
loss|unk_comp|medium	0.1439	2.5590	0.0786
loss|unk_comp|wide	0.8471	35.2210	0.3092
decoder|bilinear|narrow	0.3148	16.4221	0.1717
decoder|bilinear|medium	0.1965	4.2733	0.0937
decoder|bilinear|wide	0.8981	38.1743	0.3075
decoder|unet|narrow	0.2987	12.9212	0.1881
decoder|unet|medium	0.1285	2.1222	0.0613
decoder|unet|wide	0.8736	36.4043	0.3035
refine|identity|narrow	0.3475	21.0039	0.2599
refine|identity|medium	0.1324	2.0210	0.0991
refine|identity|wide	0.8583	36.4965	0.3273
refine|stage|narrow	0.3684	23.5066	0.2488
refine|stage|medium	0.1366	2.1630	0.0672
refine|stage|wide	0.9031	40.7640	0.3035
skip|drop|narrow	0.3767	24.9970	0.2269
skip|drop|medium	0.1679	3.3760	0.0810
skip|drop|wide	0.9650	46.7061	0.3303
skip|concat|narrow	0.3277	18.0378	0.2191
skip|concat|medium	0.1739	3.7180	0.0860
skip|concat|wide	0.7047	23.1963	0.2569
attention|gap|narrow	0.3749	25.9077	0.2347
attention|gap|medium	0.1388	2.2326	0.0686
attention|gap|wide	0.8442	35.7347	0.3011
attention|selfattn|narrow	0.3678	24.3131	0.2368
attention|selfattn|medium	0.1362	2.2036	0.0751
attention|selfattn|wide	0.7721	30.0398	0.2865
dilation|single|narrow	0.3548	21.5892	0.2405
dilation|single|medium	0.1537	2.9381	0.0786
dilation|single|wide	0.7799	28.9107	0.2765
dilation|aspp|narrow	0.3770	25.6579	0.2580
dilation|aspp|medium	0.1336	2.1434	0.0722
dilation|aspp|wide	0.7570	27.5697	0.2776
norm|identity|narrow	1.4331	251.6983	0.2539
norm|identity|medium	1.9752	263.0713	0.2539
norm|identity|wide	2.6230	263.3983	0.2539
norm|batch|narrow	0.3340	18.6313	0.2270
norm|batch|medium	0.1795	3.8557	0.0863
norm|batch|wide	0.7381	24.9027	0.2675
upsampling|nearest|narrow	0.3457	20.3368	0.2293
upsampling|nearest|medium	0.1418	2.4034	0.0727
upsampling|nearest|wide	0.8987	36.8138	0.3114
upsampling|learned|narrow	0.3697	23.8397	0.2390
upsampling|learned|medium	0.1292	2.1568	0.0671
upsampling|learned|wide	0.8574	36.4637	0.2978
propagation|identity|narrow	0.3574	21.7223	0.2495
propagation|identity|medium	0.1382	2.4148	0.0868
propagation|identity|wide	0.8337	34.0390	0.3099
propagation|guided|narrow	0.3476	14.6435	0.1445
propagation|guided|medium	0.3112	5.9175	0.1427
propagation|guided|wide	0.9699	40.2412	0.2876
fgpred|alpha_only|narrow	0.3440	20.0487	0.2349
fgpred|alpha_only|medium	0.1508	2.9443	0.0779
fgpred|alpha_only|wide	0.8269	32.2124	0.2961
fgpred|joint|narrow	0.3639	23.8533	0.2288
fgpred|joint|medium	0.1387	2.2921	0.0731
fgpred|joint|wide	0.9057	37.2531	0.3081
